Applicant_ID,Applicant_Gender,Owned_Car,Owned_Realty,Total_Children,Total_Income,Income_Type,Education_Type,Family_Status,Housing_Type,Owned_Mobile_Phone,Owned_Work_Phone,Owned_Phone,Owned_Email,Job_Title,Total_Family_Members,Applicant_Age,Years_of_Working,Total_Bad_Debt,Total_Good_Debt,Status
5062187,F      ,1,1,2,144000,Working                                           ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,0,0,1,Accountants                                       ,4,40,2,0,32,1
5062188,F      ,1,1,2,144000,Working                                           ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,0,0,1,Accountants                                       ,4,40,2,0,47,1
5062189,F      ,1,1,2,144000,Working                                           ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,0,0,1,Accountants                                       ,4,40,2,0,58,1
5062190,F      ,1,1,2,144000,Working                                           ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,0,0,1,Accountants                                       ,4,40,2,0,59,1
5062212,F      ,0,1,2,153000,Commercial associate                              ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,0,0,0,Accountants                                       ,4,37,4,0,59,1
5062213,F      ,0,1,2,153000,Commercial associate                              ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,0,0,0,Accountants                                       ,4,37,4,2,42,1
5062214,F      ,0,1,2,153000,Commercial associate                              ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,0,0,0,Accountants                                       ,4,37,4,0,22,1
5062215,F      ,0,1,2,153000,Commercial associate                              ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,0,0,0,Accountants                                       ,4,37,4,0,60,1
5062217,F      ,0,1,2,153000,Commercial associate                              ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,0,0,0,Accountants                                       ,4,37,4,1,26,1
5062218,F      ,0,1,2,153000,Commercial associate                              ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,0,0,0,Accountants                                       ,4,37,4,1,26,1
5062219,F      ,0,1,2,153000,Commercial associate                              ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,0,0,0,Accountants                                       ,4,37,4,0,28,1
5062220,F      ,0,1,2,135000,Commercial associate                              ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,1,0,Medicine staff                                    ,4,44,1,0,7,1
5062225,F      ,0,0,1,157500,Working                                           ,Secondary / secondary special                     ,Civil marriage                                    ,With parents                                      ,1,0,1,0,Cooking staff                                     ,3,31,2,0,18,1
5062226,F      ,0,0,1,157500,Working                                           ,Secondary / secondary special                     ,Civil marriage                                    ,With parents                                      ,1,0,1,0,Cooking staff                                     ,3,31,2,6,14,1
5062227,F      ,0,0,1,157500,Working                                           ,Secondary / secondary special                     ,Civil marriage                                    ,With parents                                      ,1,0,1,0,Cooking staff                                     ,3,31,2,2,32,1
5062232,F      ,1,0,0,315000,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Managers                                          ,2,54,12,0,36,1
5062233,F      ,1,0,0,315000,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Managers                                          ,2,54,12,0,42,1
5062234,F      ,1,0,0,315000,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Managers                                          ,2,54,12,0,53,1
5062236,F      ,1,0,0,315000,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Managers                                          ,2,54,12,2,56,1
5062237,F      ,1,0,0,315000,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Managers                                          ,2,54,12,0,42,1
5062240,F      ,1,0,0,315000,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Managers                                          ,2,54,12,0,34,1
5062241,F      ,1,0,0,315000,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Managers                                          ,2,54,12,0,36,1
5062242,F      ,1,0,0,315000,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Managers                                          ,2,54,12,0,40,1
5062243,F      ,1,0,0,315000,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Managers                                          ,2,54,12,0,34,1
5062244,F      ,1,0,0,315000,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Managers                                          ,2,54,12,0,30,1
5062245,F      ,1,0,0,315000,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Managers                                          ,2,54,12,0,2,1
5062246,F      ,1,0,0,315000,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Managers                                          ,2,54,12,0,17,1
5062247,F      ,1,0,0,315000,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Managers                                          ,2,54,12,2,21,1
5062248,F      ,1,0,0,315000,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Managers                                          ,2,54,12,0,26,1
5062249,F      ,1,0,0,315000,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Managers                                          ,2,54,12,0,31,1
5062250,F      ,1,0,0,315000,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Managers                                          ,2,54,12,0,35,1
5062251,F      ,1,0,0,315000,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Managers                                          ,2,54,12,0,35,1
5062252,F      ,1,0,0,315000,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Managers                                          ,2,54,12,1,56,1
5062254,F      ,0,0,1,157500,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,1,Private service staff                             ,3,42,5,0,56,1
5062270,F      ,0,1,0,360000,State servant                                     ,Secondary / secondary special                     ,Separated                                         ,House / apartment                                 ,1,0,0,0,Medicine staff                                    ,1,33,8,2,56,1
5062271,F      ,0,1,0,360000,State servant                                     ,Secondary / secondary special                     ,Separated                                         ,House / apartment                                 ,1,0,0,0,Medicine staff                                    ,1,33,8,0,8,1
5062272,F      ,0,1,0,360000,State servant                                     ,Secondary / secondary special                     ,Separated                                         ,House / apartment                                 ,1,0,0,0,Medicine staff                                    ,1,33,8,0,17,1
5062273,F      ,0,1,0,360000,State servant                                     ,Secondary / secondary special                     ,Separated                                         ,House / apartment                                 ,1,0,0,0,Medicine staff                                    ,1,33,8,0,30,1
5062274,M      ,0,1,0,225000,Commercial associate                              ,Secondary / secondary special                     ,Single / not married                              ,House / apartment                                 ,1,0,0,0,Security staff                                    ,1,45,12,0,34,1
5062279,F      ,0,1,0,157500,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,1,0,Accountants                                       ,2,53,6,0,18,1
5062280,F      ,0,1,0,157500,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,1,0,Accountants                                       ,2,53,6,0,38,1
5062281,F      ,0,1,0,157500,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,1,0,Accountants                                       ,2,53,6,0,16,1
5062282,M      ,0,1,0,202500,Commercial associate                              ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,1,0,1,Core staff                                        ,2,23,3,0,19,1
5062283,M      ,0,1,0,202500,Commercial associate                              ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,1,0,1,Core staff                                        ,2,23,3,0,5,1
5062284,M      ,0,1,0,202500,Commercial associate                              ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,1,0,1,Core staff                                        ,2,23,3,0,18,1
5062285,M      ,0,1,0,202500,Commercial associate                              ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,1,0,1,Core staff                                        ,2,23,3,0,22,1
5062286,M      ,0,1,0,202500,Commercial associate                              ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,1,0,1,Core staff                                        ,2,23,3,0,14,1
5062287,M      ,0,1,0,202500,Commercial associate                              ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,1,0,1,Core staff                                        ,2,23,3,0,26,1
5062288,F      ,0,1,1,45000,Working                                           ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,0,0,0,Core staff                                        ,3,31,1,0,13,1
5062290,F      ,1,1,0,225000,Working                                           ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,0,0,1,Managers                                          ,2,49,7,0,21,1
5062291,F      ,1,1,0,225000,Working                                           ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,0,0,1,Managers                                          ,2,49,7,0,47,1
5062292,F      ,1,1,0,225000,Working                                           ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,0,0,1,Managers                                          ,2,49,7,0,30,1
5062293,F      ,1,1,0,225000,Working                                           ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,0,0,1,Managers                                          ,2,49,7,0,58,1
5062294,F      ,1,1,0,225000,Working                                           ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,0,0,1,Managers                                          ,2,49,7,0,59,1
5062298,F      ,0,1,0,121500,Commercial associate                              ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Core staff                                        ,2,49,9,0,34,1
5062299,F      ,0,1,0,121500,Commercial associate                              ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Core staff                                        ,2,49,9,0,32,1
5062300,F      ,0,1,0,121500,Commercial associate                              ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Core staff                                        ,2,49,9,0,27,1
5062301,F      ,0,1,0,121500,Commercial associate                              ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Core staff                                        ,2,49,9,0,21,1
5062302,F      ,0,1,0,121500,Commercial associate                              ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Core staff                                        ,2,49,9,0,6,1
5062303,F      ,0,1,0,121500,Commercial associate                              ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Core staff                                        ,2,49,9,0,12,1
5062304,F      ,0,1,0,121500,Commercial associate                              ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Core staff                                        ,2,49,9,0,16,1
5062317,F      ,0,1,0,180000,Working                                           ,Secondary / secondary special                     ,Single / not married                              ,House / apartment                                 ,1,0,0,0,Core staff                                        ,1,46,26,0,5,1
5062318,F      ,0,1,0,180000,Working                                           ,Secondary / secondary special                     ,Single / not married                              ,House / apartment                                 ,1,0,0,0,Core staff                                        ,1,46,26,5,6,1
5062319,F      ,0,1,0,180000,Working                                           ,Secondary / secondary special                     ,Single / not married                              ,House / apartment                                 ,1,0,0,0,Core staff                                        ,1,46,26,2,17,1
5062320,F      ,0,1,0,180000,Working                                           ,Secondary / secondary special                     ,Single / not married                              ,House / apartment                                 ,1,0,0,0,Core staff                                        ,1,46,26,0,24,1
5062321,F      ,0,1,0,180000,Working                                           ,Secondary / secondary special                     ,Single / not married                              ,House / apartment                                 ,1,0,0,0,Core staff                                        ,1,46,26,0,32,1
5062322,F      ,0,1,0,180000,Working                                           ,Secondary / secondary special                     ,Single / not married                              ,House / apartment                                 ,1,0,0,0,Core staff                                        ,1,46,26,0,41,1
5062323,F      ,0,1,0,180000,Working                                           ,Secondary / secondary special                     ,Single / not married                              ,House / apartment                                 ,1,0,0,0,Core staff                                        ,1,46,26,1,59,1
5062345,M      ,1,1,0,225000,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,1,1,0,Drivers                                           ,2,58,16,0,28,1
5062346,M      ,1,1,0,225000,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,1,1,0,Drivers                                           ,2,58,16,0,14,1
5062347,M      ,1,1,0,225000,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,1,1,0,Drivers                                           ,2,58,16,0,23,1
5062348,F      ,0,1,0,90000,State servant                                     ,Secondary / secondary special                     ,Widow                                             ,House / apartment                                 ,1,0,0,0,Medicine staff                                    ,1,49,12,0,27,1
5062349,F      ,0,1,0,90000,State servant                                     ,Secondary / secondary special                     ,Widow                                             ,House / apartment                                 ,1,0,0,0,Medicine staff                                    ,1,49,12,0,8,1
5062350,F      ,0,1,0,90000,State servant                                     ,Secondary / secondary special                     ,Widow                                             ,House / apartment                                 ,1,0,0,0,Medicine staff                                    ,1,49,12,16,23,1
5062351,F      ,1,1,1,351000,Working                                           ,Secondary / secondary special                     ,Civil marriage                                    ,House / apartment                                 ,1,0,0,0,Managers                                          ,3,37,7,0,5,1
5062353,M      ,0,0,1,135000,Working                                           ,Secondary / secondary special                     ,Married                                           ,Rented apartment                                  ,1,0,1,0,Laborers                                          ,3,33,4,1,13,1
5062363,F      ,1,1,0,202500,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,1,1,0,Core staff                                        ,2,29,3,0,31,1
5062364,F      ,1,1,0,202500,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,1,1,0,Core staff                                        ,2,29,3,0,33,1
5062365,F      ,1,1,0,202500,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,1,1,0,Core staff                                        ,2,29,3,0,19,1
5062366,F      ,1,1,0,202500,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,1,1,0,Core staff                                        ,2,29,3,1,24,1
5062367,F      ,1,1,0,202500,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,1,1,0,Core staff                                        ,2,29,3,0,53,1
5062368,F      ,1,1,0,202500,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,1,1,0,Core staff                                        ,2,29,3,0,8,1
5062369,F      ,1,1,0,202500,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,1,1,0,Core staff                                        ,2,29,3,0,18,1
5062370,F      ,1,1,0,202500,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,1,1,0,Core staff                                        ,2,29,3,0,31,1
5062371,F      ,1,1,0,202500,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,1,1,0,Core staff                                        ,2,29,3,0,48,1
5062374,F      ,0,1,0,121500,State servant                                     ,Higher education                                  ,Widow                                             ,House / apartment                                 ,1,1,1,0,Accountants                                       ,1,54,5,0,4,1
5062375,F      ,0,1,0,121500,State servant                                     ,Higher education                                  ,Widow                                             ,House / apartment                                 ,1,1,1,0,Accountants                                       ,1,54,5,0,13,1
5062394,M      ,0,1,0,283500,State servant                                     ,Secondary / secondary special                     ,Civil marriage                                    ,House / apartment                                 ,1,0,0,0,Laborers                                          ,2,24,4,0,2,1
5062396,F      ,0,1,0,180000,Working                                           ,Secondary / secondary special                     ,Separated                                         ,House / apartment                                 ,1,1,1,0,Laborers                                          ,1,40,13,0,17,1
5062397,F      ,0,1,0,180000,Working                                           ,Secondary / secondary special                     ,Separated                                         ,House / apartment                                 ,1,1,1,0,Laborers                                          ,1,40,13,0,24,1
5062398,F      ,0,1,0,180000,Working                                           ,Secondary / secondary special                     ,Separated                                         ,House / apartment                                 ,1,1,1,0,Laborers                                          ,1,40,13,0,24,1
5062399,F      ,0,1,0,180000,Working                                           ,Secondary / secondary special                     ,Separated                                         ,House / apartment                                 ,1,1,1,0,Laborers                                          ,1,40,13,0,5,1
5062400,F      ,0,1,0,180000,Working                                           ,Secondary / secondary special                     ,Separated                                         ,House / apartment                                 ,1,1,1,0,Laborers                                          ,1,40,13,0,50,1
5062401,M      ,1,1,0,202500,Commercial associate                              ,Secondary / secondary special                     ,Single / not married                              ,House / apartment                                 ,1,0,0,1,High skill tech staff                             ,1,30,9,0,26,1
5062402,M      ,1,1,0,202500,Commercial associate                              ,Secondary / secondary special                     ,Single / not married                              ,House / apartment                                 ,1,0,0,1,High skill tech staff                             ,1,30,9,0,26,1
5062403,M      ,1,1,0,202500,Commercial associate                              ,Secondary / secondary special                     ,Single / not married                              ,House / apartment                                 ,1,0,0,1,High skill tech staff                             ,1,30,9,0,51,1
5062404,M      ,1,1,0,202500,Commercial associate                              ,Secondary / secondary special                     ,Single / not married                              ,House / apartment                                 ,1,0,0,1,High skill tech staff                             ,1,30,9,0,17,1
5062405,M      ,1,1,0,202500,Commercial associate                              ,Secondary / secondary special                     ,Single / not married                              ,House / apartment                                 ,1,0,0,1,High skill tech staff                             ,1,30,9,0,51,1
5062406,M      ,1,1,0,202500,Commercial associate                              ,Secondary / secondary special                     ,Single / not married                              ,House / apartment                                 ,1,0,0,1,High skill tech staff                             ,1,30,9,0,47,1
5062418,F      ,1,1,1,180000,Working                                           ,Higher education                                  ,Single / not married                              ,House / apartment                                 ,1,0,0,0,Sales staff                                       ,2,39,9,0,19,1
5062419,F      ,1,1,1,180000,Working                                           ,Higher education                                  ,Single / not married                              ,House / apartment                                 ,1,0,0,0,Sales staff                                       ,2,39,9,0,30,1
5062420,F      ,1,1,1,180000,Working                                           ,Higher education                                  ,Single / not married                              ,House / apartment                                 ,1,0,0,0,Sales staff                                       ,2,39,9,0,33,1
5062421,F      ,1,1,1,180000,Working                                           ,Higher education                                  ,Single / not married                              ,House / apartment                                 ,1,0,0,0,Sales staff                                       ,2,39,9,0,61,1
5062428,M      ,1,1,1,180000,Working                                           ,Secondary / secondary special                     ,Single / not married                              ,House / apartment                                 ,1,0,0,0,Drivers                                           ,2,32,3,0,31,1
5062435,M      ,1,1,1,180000,Working                                           ,Secondary / secondary special                     ,Single / not married                              ,House / apartment                                 ,1,0,0,0,Drivers                                           ,2,32,3,0,45,1
5062436,M      ,1,1,1,180000,Working                                           ,Secondary / secondary special                     ,Single / not married                              ,House / apartment                                 ,1,0,0,0,Drivers                                           ,2,32,3,0,29,1
5062438,M      ,1,1,1,180000,Working                                           ,Secondary / secondary special                     ,Single / not married                              ,House / apartment                                 ,1,0,0,0,Drivers                                           ,2,32,3,0,10,1
5062439,M      ,1,1,1,180000,Working                                           ,Secondary / secondary special                     ,Single / not married                              ,House / apartment                                 ,1,0,0,0,Drivers                                           ,2,32,3,0,37,1
5062440,M      ,1,1,1,180000,Working                                           ,Secondary / secondary special                     ,Single / not married                              ,House / apartment                                 ,1,0,0,0,Drivers                                           ,2,32,3,0,36,1
5062441,M      ,1,1,1,180000,Working                                           ,Secondary / secondary special                     ,Single / not married                              ,House / apartment                                 ,1,0,0,0,Drivers                                           ,2,32,3,0,39,1
5062451,F      ,0,1,0,81000,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Medicine staff                                    ,2,43,5,0,3,1
5062452,F      ,0,1,0,81000,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Medicine staff                                    ,2,43,5,1,6,1
5062453,F      ,0,1,0,81000,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Medicine staff                                    ,2,43,5,0,38,1
5062454,F      ,0,1,0,81000,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Medicine staff                                    ,2,43,5,0,60,1
5062456,F      ,0,1,0,270000,State servant                                     ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,1,1,0,Managers                                          ,2,38,1,0,36,1
5062457,F      ,0,1,0,270000,State servant                                     ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,1,1,0,Managers                                          ,2,38,1,2,11,1
5062458,F      ,0,1,0,270000,State servant                                     ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,1,1,0,Managers                                          ,2,38,1,0,20,1
5062459,F      ,0,1,0,270000,State servant                                     ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,1,1,0,Managers                                          ,2,38,1,1,31,1
5062460,F      ,0,1,0,270000,State servant                                     ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,1,1,0,Managers                                          ,2,38,1,0,37,1
5062461,F      ,0,1,0,270000,State servant                                     ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,1,1,0,Managers                                          ,2,38,1,2,14,1
5062462,F      ,0,1,0,270000,State servant                                     ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,1,1,0,Managers                                          ,2,38,1,0,36,1
